split,label,category,source_type,source_path,output_path,sha256,average_hash
train,edible,banane,structured,data/train/edible/banane/banana-e-k (1).png,data/train/edible/banane/banana-e-k (1).png,c41d107bb098eae8e7b234aecd9da3afaea075244cd08a974686e8ea3696f5a0,18374403372710018814
train,edible,banane,structured,data/train/edible/banane/banana-e-k (10).png,data/train/edible/banane/banana-e-k (10).png,a90d4b49b0de35afd79a28e4d62b462731e7c7753c6940c48e85cb90c8b908dd,18429723116298564607
train,edible,banane,structured,data/train/edible/banane/banana-e-k (11).png,data/train/edible/banane/banana-e-k (11).png,2e9ee8880b3b374fbb0361db53e22df3e8c3418a322c7dac1bcfbf00dafc09d7,18446607186667885031
train,edible,banane,structured,data/train/edible/banane/banana-e-k (13).png,data/train/edible/banane/banana-e-k (13).png,510c243b343ff8710c8a0bd93c1286616cf8940325d804fabb9c812060d26680,18446682378677008701
train,edible,banane,structured,data/train/edible/banane/banana-e-k (14).png,data/train/edible/banane/banana-e-k (14).png,13bfdea65363cb96e57c9228a4c85dc067c89d25346bd2d5e4f65efbd4ec4081,18444767143093403650
train,edible,banane,structured,data/train/edible/banane/banana-e-k (15).png,data/train/edible/banane/banana-e-k (15).png,4ec1a2da64f9c90dcd35d65a57e869d9c3913bb6a9cb8b1dca581d45d41bf637,18429718690222669823
train,edible,banane,structured,data/train/edible/banane/banana-e-k (16).png,data/train/edible/banane/banana-e-k (16).png,f12a8b108544edda1b75e8e180ea06ab9dc8cfd4977ee04e63ea168fa4a01d64,18439957758586487235
train,edible,banane,structured,data/train/edible/banane/banana-e-k (17).png,data/train/edible/banane/banana-e-k (17).png,917cb31670aa12794a571156a2a2f3ea7c37779f83406ff0768d2fad2217ef5b,13938708576795548897
train,edible,banane,structured,data/train/edible/banane/banana-e-k (18).png,data/train/edible/banane/banana-e-k (18).png,167e7bb220c1970a7de45e37174b4eff5576e29b4f301d5aa56b8c1ee69e31c7,872852798922587136
train,edible,banane,structured,data/train/edible/banane/banana-e-k (2).png,data/train/edible/banane/banana-e-k (2).png,c36e0e824e45e4e87650c2fc15da2533658a66956a5d7153e8f76b7af7fcc15c,26880308364148607
train,edible,banane,structured,data/train/edible/banane/banana-e-k (20).png,data/train/edible/banane/banana-e-k (20).png,4ce2fa500c7ad74882c303e831969505194dcb3c2dfccb6d869ebf74ab6c4e89,18120471308303896
train,edible,banane,structured,data/train/edible/banane/banana-e-k (21).png,data/train/edible/banane/banana-e-k (21).png,ff5e9cdd57589d8d3dbb3d8ca0b670ac30b8781c8d65b51bcfaf0df43bd9264c,3493947370173828864
train,edible,banane,structured,data/train/edible/banane/banana-e-k (22).png,data/train/edible/banane/banana-e-k (22).png,ac647f1b62a0d33abd74351542ae09e90ec90aa4766756eb8fce5a0bf93c5898,18230077881427702816
train,edible,banane,structured,data/train/edible/banane/banana-e-k (23).png,data/train/edible/banane/banana-e-k (23).png,3d27ed71211594210df0804ade3466530a74fb2fd216c41ff730ce74426e0557,4467004574331240448
train,edible,banane,structured,data/train/edible/banane/banana-e-k (3).png,data/train/edible/banane/banana-e-k (3).png,0ce02b7bf87ccb92fd36a5cdb91ee9b451cfa075695cddb2af070faaafe54e47,18446603046319391175
train,edible,banane,structured,data/train/edible/banane/banana-e-k (4).png,data/train/edible/banane/banana-e-k (4).png,11cac5bd79e78078ffe7928dc1b1bba94ed440bfa835a969c40a3bf614d4da3a,18412689870489778687
train,edible,banane,structured,data/train/edible/banane/banana-e-k (5).png,data/train/edible/banane/banana-e-k (5).png,19d8bef01a98322b555cc18db3c850cb16bec23ac8dfddcaa79bfe9c1761b9e2,18429223947011604479
train,edible,banane,structured,data/train/edible/banane/banana-e-k (6).png,data/train/edible/banane/banana-e-k (6).png,ff0505018435a772c5b0b35699e544c53d10988454616cce94e2fd6acd984102,18446178893611205583
train,edible,banane,structured,data/train/edible/banane/banana-e-k (7).png,data/train/edible/banane/banana-e-k (7).png,88d47e464a3707a38607b1085288e397c5f6e899c5e16b9ddb3cf4d7fcdb7f8e,18428482285109485535
train,edible,banane,structured,data/train/edible/banane/banana-e-k (8).png,data/train/edible/banane/banana-e-k (8).png,b493cca20a78bd76826b0e83381c13429d92b4b6fb73af38e5a4a446f031c9d7,16686822888753200895
train,edible,banane,structured,data/train/edible/banane/banana-e-k (9).png,data/train/edible/banane/banana-e-k (9).png,778affe36e730d765eb360b843a22f651044ccbfbfba2f76ffda815268de2b8d,522523643510398464
train,edible,banane,structured,data/train/edible/banane/banana-e-o (1).jpeg,data/train/edible/banane/banana-e-o (1).jpeg,0ee6f082cb97dde0fe62dd02ac3eb8d56e5ef4cde11ad37d725b928373a09c7b,16127337247610626302
train,edible,banane,structured,data/train/edible/banane/banana-e-o (10).jpeg,data/train/edible/banane/banana-e-o (10).jpeg,3238e77b81e3f962058b926d3d8418ef1c8c045e2ea46cf684d69cb83965d02a,17651985130803968028
train,edible,banane,structured,data/train/edible/banane/banana-e-o (11).jpeg,data/train/edible/banane/banana-e-o (11).jpeg,ab2a62667e8390d387062d74b5729cddcd319a7a541dd65e469d8ed8347cf5ba,288759168764944193
train,edible,banane,structured,data/train/edible/banane/banana-e-o (12).jpeg,data/train/edible/banane/banana-e-o (12).jpeg,a5ea1bbdb3af595b6cbcdfd2900f17394bba4655930a051ec4f8d49e86f230ea,18367622076762430983
train,edible,banane,structured,data/train/edible/banane/banana-e-o (13).jpeg,data/train/edible/banane/banana-e-o (13).jpeg,1f14898e8ad54acddd8900df290c8a9f7f684ba37bc500c00f2c1b452108a998,477310364962533376
train,edible,banane,structured,data/train/edible/banane/banana-e-o (14).jpeg,data/train/edible/banane/banana-e-o (14).jpeg,ad25afc542031e5dbcd24b310b4d67030ef67602250aec6f6f0aa70fab6dc3c7,4517101440226570288
train,edible,banane,structured,data/train/edible/banane/banana-e-o (15).jpeg,data/train/edible/banane/banana-e-o (15).jpeg,a8ce67875c956d01bb0293c12ddef88d4822eb5cd78efc496ca1440acc2ed361,18228584406916591616
train,edible,banane,structured,data/train/edible/banane/banana-e-o (16).jpeg,data/train/edible/banane/banana-e-o (16).jpeg,2906bb46186e638616450856122cc0050e0089af4774ca25f492efb0edd6def3,18392700204944982016
train,edible,banane,structured,data/train/edible/banane/banana-e-o (17).jpeg,data/train/edible/banane/banana-e-o (17).jpeg,f3898fa65966e125077bb8eaafbd1d583805df66eea2409352c1d7657709308e,9218815244578570368
train,edible,banane,structured,data/train/edible/banane/banana-e-o (18).jpeg,data/train/edible/banane/banana-e-o (18).jpeg,c1c19e7dc5921757196d8ec6c2900ba33b8dde7499b5a36ebdd516706aabb1f4,3990328902942522492
train,edible,banane,structured,data/train/edible/banane/banana-e-o (19).jpeg,data/train/edible/banane/banana-e-o (19).jpeg,415a0b6aacc250e4a6b72cb558409ca0a97c30510aa4ec9c47138ad17d1b2170,14088107390226241951
train,edible,banane,structured,data/train/edible/banane/banana-e-o (2).jpeg,data/train/edible/banane/banana-e-o (2).jpeg,8eb814175644008eb4fb8a60460fbddc0aeba1a58c17759549f21490585a747e,18229657360152426808
train,edible,banane,structured,data/train/edible/banane/banana-e-o (20).jpeg,data/train/edible/banane/banana-e-o (20).jpeg,7ad1194c73dda8adc2890bf66d4702a8429019f4da92b8ea1e843223400a8bfd,64445178050812
train,edible,banane,structured,data/train/edible/banane/banana-e-o (21).jpeg,data/train/edible/banane/banana-e-o (21).jpeg,c07acd15c29c1f93eee09cc105501f72e674b0ac1cc9037b5a1042e94f864b19,14088105172949317767
train,edible,banane,structured,data/train/edible/banane/banana-e-o (3).jpeg,data/train/edible/banane/banana-e-o (3).jpeg,05d39d144627157b80763cbeb4c12188ee68e14c5c48e9f7a8e08f4d7686755f,18229666122016285439
train,edible,banane,structured,data/train/edible/banane/banana-e-o (4).jpeg,data/train/edible/banane/banana-e-o (4).jpeg,d1b27b90557dadcadf716122130d0dbd979b21246be2cc6d54c059d09d758ef2,4046546355261028408
train,edible,banane,structured,data/train/edible/banane/banana-e-o (5).jpeg,data/train/edible/banane/banana-e-o (5).jpeg,c5c8d2f3c1b56f278c3520f543d7ed5e37d601e09c8040d38275f64d6f4ec4a6,4048868528130439216
train,edible,banane,structured,data/train/edible/banane/banana-e-o (6).jpeg,data/train/edible/banane/banana-e-o (6).jpeg,fdf8be6b7b1b183943b208c00da6403225b85344e3b4c25b203b09bf22fe9b52,2165951040996706048
train,edible,banane,structured,data/train/edible/banane/banana-e-o (7).jpeg,data/train/edible/banane/banana-e-o (7).jpeg,1de0ac05b3cb5446c54a49d2d79362767d0594ddb937eae3daa5112244cd9ad6,13896081967874049795
train,edible,banane,structured,data/train/edible/banane/banana-e-o (8).jpeg,data/train/edible/banane/banana-e-o (8).jpeg,7f3fc9dc7fabeff4e55bfa3726d8e7426f27cee5ae8dea94fee9dbff53fcbdfc,162275404944737231
train,edible,banane,structured,data/train/edible/banane/banana-e-o (9).jpeg,data/train/edible/banane/banana-e-o (9).jpeg,02b199e902dd5b33851c21dc45251c7a210957eeb72c26fb5d20673e1576fb8d,38554344922539895
